path	source_class	evidence_path	allowed_phase3_use	risk	notes
FAQE/Home/08. Monitoring/Disk table and index usage__16876226.md	Korean-source-verified	semantic-coverage/doc-mapping.tsv (F08-05); KO_EN_SEMANTIC_COVERAGE_REPORT.md	Primary Phase 3 source; may be described as Korean-source-verified.	none	Korean-core FAQE target for faq/Home/08. 모니터링/08-05. 디스크 테이블 및 인덱스 사용량__7342015.md audited by S026 with Phase 1 COMPLETE coverage.
FAQE/Home/08. Monitoring/Disk tablespace usage/ALTIBASE HDB 4.3.9__16876249.md	Korean-source-verified	semantic-coverage/doc-mapping.tsv (F08-06-01); KO_EN_SEMANTIC_COVERAGE_REPORT.md	Primary Phase 3 source; may be described as Korean-source-verified.	none	Korean-core FAQE target for faq/Home/08. 모니터링/08-06. 디스크 테이블스페이스 사용량/08-06-01. ALTIBASE HDB 4.3.9__7342007.md audited by S026 with Phase 1 COMPLETE coverage.
FAQE/Home/08. Monitoring/Disk tablespace usage/ALTIBASE HDB 5.1.5__16876251.md	Korean-source-verified	semantic-coverage/doc-mapping.tsv (F08-06-02); KO_EN_SEMANTIC_COVERAGE_REPORT.md	Primary Phase 3 source; may be described as Korean-source-verified.	none	Korean-core FAQE target for faq/Home/08. 모니터링/08-06. 디스크 테이블스페이스 사용량/08-06-02. ALTIBASE HDB 5.1.5__7342009.md audited by S026 with Phase 1 COMPLETE coverage.
FAQE/Home/08. Monitoring/Disk tablespace usage/ALTIBASE HDB 5.3.3, 5.3.5__16876253.md	Korean-source-verified	semantic-coverage/doc-mapping.tsv (F08-06-03); KO_EN_SEMANTIC_COVERAGE_REPORT.md	Primary Phase 3 source; may be described as Korean-source-verified.	none	Korean-core FAQE target for faq/Home/08. 모니터링/08-06. 디스크 테이블스페이스 사용량/08-06-03. ALTIBASE HDB 5.3.3, 5.3.5__7342011.md audited by S026 with Phase 1 COMPLETE coverage.
FAQE/Home/08. Monitoring/Disk tablespace usage/ALTIBASE HDB 5.5.1, 6.1.1, 6.3.1__16876255.md	Korean-source-verified	semantic-coverage/doc-mapping.tsv (F08-06-04); KO_EN_SEMANTIC_COVERAGE_REPORT.md	Primary Phase 3 source; may be described as Korean-source-verified.	none	Korean-core FAQE target for faq/Home/08. 모니터링/08-06. 디스크 테이블스페이스 사용량/08-06-04. ALTIBASE HDB 5.5.1, 6.1.1, 6.3.1__7342013.md audited by S026 with Phase 1 COMPLETE coverage.
FAQE/Home/08. Monitoring/How to determine which queries are being rolled back__16876296.md	Korean-source-verified	semantic-coverage/doc-mapping.tsv (F08-07); KO_EN_SEMANTIC_COVERAGE_REPORT.md	Primary Phase 3 source; may be described as Korean-source-verified.	none	Korean-core FAQE target for faq/Home/08. 모니터링/08-07. 롤백(rollback) 중인 쿼리를 확인하는 방법__8454580.md audited by S026 with Phase 1 COMPLETE coverage.
FAQE/Home/08. Monitoring/How to log queries performed in Altibase (altiProfile)__22642959.md	Korean-source-verified	semantic-coverage/doc-mapping.tsv (F08-01); KO_EN_SEMANTIC_COVERAGE_REPORT.md	Primary Phase 3 source; may be described as Korean-source-verified.	none	Korean-core FAQE target for faq/Home/08. 모니터링/08-01. Altibase에서 수행된 쿼리 로그 남기는 방법(altiProfile)은__9110730.md audited by S026 with Phase 1 COMPLETE coverage.
FAQE/Home/08. Monitoring/How to set up and execute altimon__16876266.md	Link-validated Korean-source-verified	semantic-coverage/doc-mapping.tsv (F08-10); source-stabilization/url-backed-attachments.tsv	Primary Phase 3 source; preserve recorded URLs and attachment status.	legacy attachment label tracked separately; do not infer a missing URL	Korean-core FAQE target for faq/Home/08. 모니터링/08-10. 알티몬(altimon) 설정 및 실행 방법__6979592.md audited by S026; E006 records URL/link preservation plus legacy-label limits where applicable.
FAQE/Home/08. Monitoring/Lock related properties__16876204.md	Korean-source-verified	semantic-coverage/doc-mapping.tsv (F08-02); KO_EN_SEMANTIC_COVERAGE_REPORT.md	Primary Phase 3 source; may be described as Korean-source-verified.	none	Korean-core FAQE target for faq/Home/08. 모니터링/08-02. Lock 관련 정보 조회__9109812.md audited by S026 with Phase 1 COMPLETE coverage.
FAQE/Home/08. Monitoring/Memory table and index usage__16876259.md	Korean-source-verified	semantic-coverage/doc-mapping.tsv (F08-08); KO_EN_SEMANTIC_COVERAGE_REPORT.md	Primary Phase 3 source; may be described as Korean-source-verified.	none	Korean-core FAQE target for faq/Home/08. 모니터링/08-08. 메모리 테이블 및 인덱스 사용량__8454613.md audited by S026 with Phase 1 COMPLETE coverage.
FAQE/Home/08. Monitoring/Memory tablespace usage/ALTIBASE HDB 5.5.1, 6.1.1, 6.3.1__16876263.md	Korean-source-verified	semantic-coverage/doc-mapping.tsv (F08-09-01); KO_EN_SEMANTIC_COVERAGE_REPORT.md	Primary Phase 3 source; may be described as Korean-source-verified.	none	Korean-core FAQE target for faq/Home/08. 모니터링/08-09. 메모리 테이블스페이스 사용량/08-09-01. ALTIBASE HDB 5.5.1, 6.1.1, 6.3.1__8454645.md audited by S026 with Phase 1 COMPLETE coverage.
FAQE/Home/08. Monitoring/Monitoring Tools for Windows__16876220.md	Link-validated Korean-source-verified	semantic-coverage/doc-mapping.tsv (F08-04); source-stabilization/url-backed-attachments.tsv	Primary Phase 3 source; preserve recorded URLs and attachment status.	none	Korean-core FAQE target for faq/Home/08. 모니터링/08-04. Windows 용 모니터링 툴__7340488.md audited by S026; E006 records URL/link preservation or non-document-format exclusion.
FAQE/Home/08. Monitoring/System information by OS__16876206.md	Korean-source-verified	semantic-coverage/doc-mapping.tsv (F08-03); KO_EN_SEMANTIC_COVERAGE_REPORT.md	Primary Phase 3 source; may be described as Korean-source-verified.	none	Korean-core FAQE target for faq/Home/08. 모니터링/08-03. OS별 시스템 정보 보기__9110801.md audited by S026 with Phase 1 COMPLETE coverage.
FAQE/Home/08. Monitoring/Table_Column Definition__22642961.md	Korean-source-verified	semantic-coverage/doc-mapping.tsv (F08-12); KO_EN_SEMANTIC_COVERAGE_REPORT.md	Primary Phase 3 source; may be described as Korean-source-verified.	none	Korean-core FAQE target for faq/Home/08. 모니터링/08-12. 테이블_컬럼 정의서__12517434.md audited by S026 with Phase 1 COMPLETE coverage.
FAQE/Home/08. Monitoring/Undo Tablespace/Monitoring method when undo tablespace usage increases__22642963.md	Korean-source-verified	semantic-coverage/doc-mapping.tsv (F08-11-02); KO_EN_SEMANTIC_COVERAGE_REPORT.md	Primary Phase 3 source; may be described as Korean-source-verified.	none	Korean-core FAQE target for faq/Home/08. 모니터링/08-11. 언두 테이블스페이스(UNDO TABLESPACE)/08-11-02. 언두 테이블스페이스 사용량 증가 시 모니터링 방법__8455098.md audited by S026 with Phase 1 COMPLETE coverage.
FAQE/Home/08. Monitoring/Undo Tablespace/Undo tablespace usage__22642965.md	Korean-source-verified	semantic-coverage/doc-mapping.tsv (F08-11-01); KO_EN_SEMANTIC_COVERAGE_REPORT.md	Primary Phase 3 source; may be described as Korean-source-verified.	none	Korean-core FAQE target for faq/Home/08. 모니터링/08-11. 언두 테이블스페이스(UNDO TABLESPACE)/08-11-01. 언두 테이블스페이스 사용량__7341970.md audited by S026 with Phase 1 COMPLETE coverage.
FAQE/Home/09. Error Messages/Closed Socket by client is Detected__16876319.md	Korean-source-verified	semantic-coverage/doc-mapping.tsv (F09-05); KO_EN_SEMANTIC_COVERAGE_REPORT.md	Primary Phase 3 source; may be described as Korean-source-verified.	none	Korean-core FAQE target for faq/Home/09. 에러메시지/09-05. Closed Socket by client is Detected__6521171.md audited by S027 with Phase 1 COMPLETE coverage.
FAQE/Home/09. Error Messages/ERR-0109D Insufficient memory__16876324.md	Korean-source-verified	semantic-coverage/doc-mapping.tsv (F09-06); KO_EN_SEMANTIC_COVERAGE_REPORT.md	Primary Phase 3 source; may be described as Korean-source-verified.	none	Korean-core FAQE target for faq/Home/09. 에러메시지/09-06. ERR-0109D Insufficient memory__6521110.md audited by S027 with Phase 1 COMPLETE coverage.
FAQE/Home/09. Error Messages/ERR-11030 ( 69680) The data file cannot be extended because the requested size is bigger than the maximum size (FID_0%d__16876378.md	Korean-source-verified	semantic-coverage/doc-mapping.tsv (F09-14); KO_EN_SEMANTIC_COVERAGE_REPORT.md	Primary Phase 3 source; may be described as Korean-source-verified.	none	Korean-core FAQE target for faq/Home/09. 에러메시지/09-14. ERR-11030 ( 69680) The data file cannot be extended because the requested size is bigger than the maximum size (F__9110712.md audited by S028 with Phase 1 COMPLETE coverage.
FAQE/Home/09. Error Messages/ERR-11036 The data file is in use__16876380.md	Korean-source-verified	semantic-coverage/doc-mapping.tsv (F09-15); KO_EN_SEMANTIC_COVERAGE_REPORT.md	Primary Phase 3 source; may be described as Korean-source-verified.	none	Korean-core FAQE target for faq/Home/09. 에러메시지/09-15. ERR-11036 The data file is in use__6521344.md audited by S028 with Phase 1 COMPLETE coverage.
FAQE/Home/09. Error Messages/ERR-11049 ( 69705) Too many pages are allocated ( Maximum Number of Pages= #)__16876385.md	Korean-source-verified	semantic-coverage/doc-mapping.tsv (F09-16); KO_EN_SEMANTIC_COVERAGE_REPORT.md	Primary Phase 3 source; may be described as Korean-source-verified.	none	Korean-core FAQE target for faq/Home/09. 에러메시지/09-16. ERR-11049 ( 69705) Too many pages are allocated ( Maximum Number of Pages= 숫자)__9110685.md audited by S028 with Phase 1 COMPLETE coverage.
FAQE/Home/09. Error Messages/ERR-1105D Unable to begin a new update statement__22642969.md	Korean-source-verified	semantic-coverage/doc-mapping.tsv (F09-09); KO_EN_SEMANTIC_COVERAGE_REPORT.md	Primary Phase 3 source; may be described as Korean-source-verified.	none	Korean-core FAQE target for faq/Home/09. 에러메시지/09-09. ERR-1105D Unable to begin a new update statement__6521112.md audited by S027 with Phase 1 COMPLETE coverage.
FAQE/Home/09. Error Messages/ERR-11075 The transaction has exceeded the lock timeout specified by the user__16876388.md	Korean-source-verified	semantic-coverage/doc-mapping.tsv (F09-17); KO_EN_SEMANTIC_COVERAGE_REPORT.md	Primary Phase 3 source; may be described as Korean-source-verified.	none	Korean-core FAQE target for faq/Home/09. 에러메시지/09-17. ERR-11075 ( 69749) The transaction has exceeded the lock timeout specified by the user__6521290.md audited by S028 with Phase 1 COMPLETE coverage.
FAQE/Home/09. Error Messages/ERR-11118 ( 69912) The update log size '_' is bigger than TRX_UPDATE_MAX_LOGSIZE '_'__16876399.md	Korean-source-verified	semantic-coverage/doc-mapping.tsv (F09-18); KO_EN_SEMANTIC_COVERAGE_REPORT.md	Primary Phase 3 source; may be described as Korean-source-verified.	none	Korean-core FAQE target for faq/Home/09. 에러메시지/09-18. ERR-11118 ( 69912) The update log size '_' is bigger than TRX_UPDATE_MAX_LOGSIZE '_'__8454818.md audited by S028 with Phase 1 COMPLETE coverage.
FAQE/Home/09. Error Messages/ERR-11183 ( 70019) Insufficient page descriptor area in the temp table__16876409.md	Korean-source-verified	semantic-coverage/doc-mapping.tsv (F09-19); KO_EN_SEMANTIC_COVERAGE_REPORT.md	Primary Phase 3 source; may be described as Korean-source-verified.	none	Korean-core FAQE target for faq/Home/09. 에러메시지/09-19. ERR-11183 ( 70019) Insufficient page descriptor area in the temp table__10846427.md audited by S028 with Phase 1 COMPLETE coverage.
FAQE/Home/09. Error Messages/ERR-11184 ( 70020) Insufficient free space in work area__16876418.md	Korean-source-verified	semantic-coverage/doc-mapping.tsv (F09-20); KO_EN_SEMANTIC_COVERAGE_REPORT.md	Primary Phase 3 source; may be described as Korean-source-verified.	none	Korean-core FAQE target for faq/Home/09. 에러메시지/09-20. ERR-11184 ( 70020) Insufficient free space in work area__10846429.md audited by S028 with Phase 1 COMPLETE coverage.
FAQE/Home/09. Error Messages/ERR-21010 Value overflow__16876422.md	Korean-source-verified	semantic-coverage/doc-mapping.tsv (F09-21); KO_EN_SEMANTIC_COVERAGE_REPORT.md	Primary Phase 3 source; may be described as Korean-source-verified.	none	Korean-core FAQE target for faq/Home/09. 에러메시지/Home/09. 에러메시지/09-21. ERR-21010 Value overflow__6521028.md audited by S029 with Phase 1 COMPLETE coverage.
FAQE/Home/09. Error Messages/ERR-21011 _ Invalid literal__16876425.md	Korean-source-verified	semantic-coverage/doc-mapping.tsv (F09-22); KO_EN_SEMANTIC_COVERAGE_REPORT.md	Primary Phase 3 source; may be described as Korean-source-verified.	none	Korean-core FAQE target for faq/Home/09. 에러메시지/09-22. ERR-21011 _ Invalid literal__8455157.md audited by S029 with Phase 1 COMPLETE coverage.
FAQE/Home/09. Error Messages/ERR-311E0 The estimated size of the index key exceeds the maximum limit__16876328.md	Korean-source-verified	semantic-coverage/doc-mapping.tsv (F09-07); KO_EN_SEMANTIC_COVERAGE_REPORT.md	Primary Phase 3 source; may be described as Korean-source-verified.	none	Korean-core FAQE target for faq/Home/09. 에러메시지/09-07. ERR-311E0 The estimated size of the index key exceeds the maximum limit__6521026.md audited by S027 with Phase 1 COMPLETE coverage.
FAQE/Home/09. Error Messages/ERR-31283 Unable to create a primary key or a unique key constraint in the local non-prefixed index__16876430.md	Korean-source-verified	semantic-coverage/doc-mapping.tsv (F09-23); KO_EN_SEMANTIC_COVERAGE_REPORT.md	Primary Phase 3 source; may be described as Korean-source-verified.	none	Korean-core FAQE target for faq/Home/09. 에러메시지/09-23. ERR-31283 Unable to create a primary key or a unique key constraint in the local non-prefixed index__6521108.md audited by S029 with Phase 1 COMPLETE coverage.
FAQE/Home/09. Error Messages/ERR-4103C (266300) Request of fetching data to an unprepared SQL statement__16876347.md	Korean-source-verified	semantic-coverage/doc-mapping.tsv (F09-10); KO_EN_SEMANTIC_COVERAGE_REPORT.md	Primary Phase 3 source; may be described as Korean-source-verified.	none	Korean-core FAQE target for faq/Home/09. 에러메시지/09-10. ERR-4103C (266300) Request of fetching data to an unprepared SQL statement__10060521.md audited by S027 with Phase 1 COMPLETE coverage.
FAQE/Home/09. Error Messages/ERR-41059 ( 266329) Task pool overflow. Check properties__16876433.md	Korean-source-verified	semantic-coverage/doc-mapping.tsv (F09-24); KO_EN_SEMANTIC_COVERAGE_REPORT.md	Primary Phase 3 source; may be described as Korean-source-verified.	none	Korean-core FAQE target for faq/Home/09. 에러메시지/09-24. ERR-41059 ( 266329) Task pool overflow. Check properties__9110810.md audited by S029 with Phase 1 COMPLETE coverage.
FAQE/Home/09. Error Messages/ERR-4109C Invalid session property__22642975.md	Korean-source-verified	semantic-coverage/doc-mapping.tsv (F09-11); KO_EN_SEMANTIC_COVERAGE_REPORT.md	Primary Phase 3 source; may be described as Korean-source-verified.	none	Korean-core FAQE target for faq/Home/09. 에러메시지/09-11. ERR-4109C Invalid session property__8454428.md audited by S028 with Phase 1 COMPLETE coverage.
FAQE/Home/09. Error Messages/ERR-410D2 (266450) Fetch out of sequence__16876332.md	Korean-source-verified	semantic-coverage/doc-mapping.tsv (F09-08); KO_EN_SEMANTIC_COVERAGE_REPORT.md	Primary Phase 3 source; may be described as Korean-source-verified.	none	Korean-core FAQE target for faq/Home/09. 에러메시지/09-08. ERR-410D2 (266450) Fetch out of sequence__10060534.md audited by S027 with Phase 1 COMPLETE coverage.
FAQE/Home/09. Error Messages/ERR-5102E ( 331822) Invalid cursor state__16876356.md	Korean-source-verified	semantic-coverage/doc-mapping.tsv (F09-12); KO_EN_SEMANTIC_COVERAGE_REPORT.md	Primary Phase 3 source; may be described as Korean-source-verified.	none	Korean-core FAQE target for faq/Home/09. 에러메시지/09-12. ERR-5102E ( 331822) Invalid cursor state__9110660.md audited by S028 with Phase 1 COMPLETE coverage.
FAQE/Home/09. Error Messages/ERR-71018 ( 462872) Failed to invoke a system function, read() or Failed to invoke the read() system function__16876441.md	Korean-source-verified	semantic-coverage/doc-mapping.tsv (F09-25); KO_EN_SEMANTIC_COVERAGE_REPORT.md	Primary Phase 3 source; may be described as Korean-source-verified.	none	Korean-core FAQE target for faq/Home/09. 에러메시지/09-25. ERR-71018 ( 462872) Failed to invoke a system function, read() 또는 Failed to invoke the read() system function__9110051.md audited by S029 with Phase 1 COMPLETE coverage.
FAQE/Home/09. Error Messages/ERR-71019(errno=104) Failed to invoke a system function, write()__16876443.md	Korean-source-verified	semantic-coverage/doc-mapping.tsv (F09-26); KO_EN_SEMANTIC_COVERAGE_REPORT.md	Primary Phase 3 source; may be described as Korean-source-verified.	none	Korean-core FAQE target for faq/Home/09. 에러메시지/09-26. ERR-71019(errno=104) Failed to invoke a system function, write()__9110055.md audited by S029 with Phase 1 COMPLETE coverage.
FAQE/Home/09. Error Messages/ERR-7101D ( 462877) Protocol header error__16876373.md	Korean-source-verified	semantic-coverage/doc-mapping.tsv (F09-13); KO_EN_SEMANTIC_COVERAGE_REPORT.md	Primary Phase 3 source; may be described as Korean-source-verified.	none	Korean-core FAQE target for faq/Home/09. 에러메시지/09-13. ERR-7101D ( 462877) Protocol header error__6521284.md audited by S028 with Phase 1 COMPLETE coverage.
FAQE/Home/09. Error Messages/ERR-91015 ( 593941) Communication failure__22642976.md	Korean-source-verified	semantic-coverage/doc-mapping.tsv (F09-27); KO_EN_SEMANTIC_COVERAGE_REPORT.md	Primary Phase 3 source; may be described as Korean-source-verified.	none	Korean-core FAQE target for faq/Home/09. 에러메시지/09-27. ERR-91015 ( 593941) Communication failure__9110894.md audited by S029 with Phase 1 COMPLETE coverage.
FAQE/Home/09. Error Messages/How to check the 8-digit errorcode of altibase_qp.log__16876313.md	Korean-source-verified	semantic-coverage/doc-mapping.tsv (F09-04); KO_EN_SEMANTIC_COVERAGE_REPORT.md	Primary Phase 3 source; may be described as Korean-source-verified.	none	Korean-core FAQE target for faq/Home/09. 에러메시지/09-04. altibase_qp.log의 8자리 errorcode 확인방법__6521445.md audited by S027 with Phase 1 COMPLETE coverage.
FAQE/Home/09. Error Messages/Not found data__16876451.md	Korean-source-verified	semantic-coverage/doc-mapping.tsv (F09-28); KO_EN_SEMANTIC_COVERAGE_REPORT.md	Primary Phase 3 source; may be described as Korean-source-verified.	none	Korean-core FAQE target for faq/Home/09. 에러메시지/09-28. Not found data__10060525.md audited by S029 with Phase 1 COMPLETE coverage.
FAQE/Home/09. Error Messages/[Notify _ Fetch Timeout] Session Closed by Server__16876301.md	Korean-source-verified	semantic-coverage/doc-mapping.tsv (F09-01); KO_EN_SEMANTIC_COVERAGE_REPORT.md	Primary Phase 3 source; may be described as Korean-source-verified.	none	Korean-core FAQE target for faq/Home/09. 에러메시지/09-01. [Notify _ Fetch Timeout] Session Closed by Server__9109652.md audited by S027 with Phase 1 COMPLETE coverage.
FAQE/Home/09. Error Messages/[Warning] Memory allocation failed__16876308.md	Link-validated Korean-source-verified	semantic-coverage/doc-mapping.tsv (F09-02); source-stabilization/url-backed-attachments.tsv	Primary Phase 3 source; preserve recorded URLs and attachment status.	none	Korean-core FAQE target for faq/Home/09. 에러메시지/09-02. [Warning] Memory allocation failed__9109748.md audited by S027; E006 records URL/link preservation or non-document-format exclusion.
FAQE/Home/09. Error Messages/altibase_boot.log - TRY_COUNT, LOCK_COUNT, MISS_COUNT__22642967.md	Korean-source-verified	semantic-coverage/doc-mapping.tsv (F09-03); KO_EN_SEMANTIC_COVERAGE_REPORT.md	Primary Phase 3 source; may be described as Korean-source-verified.	none	Korean-core FAQE target for faq/Home/09. 에러메시지/09-03. altibase_boot.log의 TRY_COUNT, LOCK_COUNT, MISS_COUNT 메시지 의미__9110174.md audited by S027 with Phase 1 COMPLETE coverage.
FAQE/Home/09. Error Messages/tablespace does not have enough free space error__16876454.md	Korean-source-verified	semantic-coverage/doc-mapping.tsv (F09-29); KO_EN_SEMANTIC_COVERAGE_REPORT.md	Primary Phase 3 source; may be described as Korean-source-verified.	none	Korean-core FAQE target for faq/Home/09. 에러메시지/09-29. tablespace does not have enough free space 에러__9110690.md audited by S029 with Phase 1 COMPLETE coverage.
FAQE/Home/11. Utilities/AdminCenter2 execution file__16876465.md	Link-validated Korean-source-verified	semantic-coverage/doc-mapping.tsv (F11-01); source-stabilization/url-backed-attachments.tsv	Primary Phase 3 source; preserve recorded URLs and attachment status.	none	Korean-core FAQE target for faq/Home/11. 유틸리티/11-01. AdminCenter2 실행 파일__8454900.md audited by S030; E006 records URL/link preservation or non-document-format exclusion.
FAQE/Home/11. Utilities/iLoader/An error occurs when uploading a DOS format data file to iloader__16876469.md	Korean-source-verified	semantic-coverage/doc-mapping.tsv (F11-02-01); KO_EN_SEMANTIC_COVERAGE_REPORT.md	Primary Phase 3 source; may be described as Korean-source-verified.	none	Korean-core FAQE target for faq/Home/11. 유틸리티/11-02. iLoader/11-02-01. 도스 형식 데이터 파일을 iloader로 업로드 할 때 에러가 발생 합니다__8454513.md audited by S030 with Phase 1 COMPLETE coverage.
FAQE/Home/12. Others/Building a Large-Scale DRDB Index__22642978.md	Korean-source-verified	semantic-coverage/doc-mapping.tsv (F12-02); KO_EN_SEMANTIC_COVERAGE_REPORT.md	Primary Phase 3 source; may be described as Korean-source-verified.	none	Korean-core FAQE target for faq/Home/12. 기타/12-02. 대용량 DRDB Index 구축__20873218.md audited by S030 with Phase 1 COMPLETE coverage.
FAQE/Home/12. Others/Thread process debugging method__16876474.md	Korean-source-verified	semantic-coverage/doc-mapping.tsv (F12-01); KO_EN_SEMANTIC_COVERAGE_REPORT.md	Primary Phase 3 source; may be described as Korean-source-verified.	none	Korean-core FAQE target for faq/Home/12. 기타/12-01. Thread process debugging방법__9109859.md audited by S030 with Phase 1 COMPLETE coverage.
FAQE/Home/13. General/The entire database exists in memory. Is there any problem with the safety of the data__22642980.md	Korean-source-verified	semantic-coverage/doc-mapping.tsv (F13-03); KO_EN_SEMANTIC_COVERAGE_REPORT.md	Primary Phase 3 source; may be described as Korean-source-verified.	none	Korean-core FAQE target for faq/Home/13. 일반/13-03. 메모리에 전체 데이터베이스가 존재하는데 데이터의 안전성에는 문제가 없나요__9110752.md audited by S030 with Phase 1 COMPLETE coverage.
FAQE/Home/13. General/What interface does Altibase provide__22642982.md	Korean-source-verified	semantic-coverage/doc-mapping.tsv (F13-01); KO_EN_SEMANTIC_COVERAGE_REPORT.md	Primary Phase 3 source; may be described as Korean-source-verified.	none	Korean-core FAQE target for faq/Home/13. 일반/13-01. Altibase는 어떤 인터페이스를 제공하나요__9110631.md audited by S030 with Phase 1 COMPLETE coverage.
FAQE/Home/13. General/What is the biggest difference between Altibase and disk-based DBMS__16876485.md	Korean-source-verified	semantic-coverage/doc-mapping.tsv (F13-02); KO_EN_SEMANTIC_COVERAGE_REPORT.md	Primary Phase 3 source; may be described as Korean-source-verified.	none	Korean-core FAQE target for faq/Home/13. 일반/13-02. Altibase와 디스크 기반 DBMS의 가장 큰 차이점은 무엇인가요__9110635.md audited by S030 with Phase 1 COMPLETE coverage.
FAQE/Home/ALTIBASE HDB Administration/How to terminate a session__1802689.md	English-only source	semantic-coverage/matrices/S031-faq-attachments-english-only-classification.tsv; LLM_REFERENCE_REVIEW_PLAN.md	Auxiliary Phase 3 source only; label as English-only source and do not present as Korean-source-verified.	outside Korean-core FAQ mapping; no Korean-source semantic verification	Outside the 115 mapped Korean-core FAQE targets; S031 classifies ALTIBASE HDB Administration as English-only auxiliary material.
FAQE/Home/ALTIBASE HDB Administration/Useful SQL/Miscellaneous queries__1802687.md	English-only source	semantic-coverage/matrices/S031-faq-attachments-english-only-classification.tsv; LLM_REFERENCE_REVIEW_PLAN.md	Auxiliary Phase 3 source only; label as English-only source and do not present as Korean-source-verified.	outside Korean-core FAQ mapping; no Korean-source semantic verification	Outside the 115 mapped Korean-core FAQE targets; S031 classifies ALTIBASE HDB Administration as English-only auxiliary material.
FAQE/Home/ALTIBASE HDB Administration/Useful SQL/SQL about Objects__1802681.md	English-only source	semantic-coverage/matrices/S031-faq-attachments-english-only-classification.tsv; LLM_REFERENCE_REVIEW_PLAN.md	Auxiliary Phase 3 source only; label as English-only source and do not present as Korean-source-verified.	outside Korean-core FAQ mapping; no Korean-source semantic verification	Outside the 115 mapped Korean-core FAQE targets; S031 classifies ALTIBASE HDB Administration as English-only auxiliary material.
FAQE/Home/ALTIBASE HDB Administration/Useful SQL/SQL about Replication__1802683.md	English-only source	semantic-coverage/matrices/S031-faq-attachments-english-only-classification.tsv; LLM_REFERENCE_REVIEW_PLAN.md	Auxiliary Phase 3 source only; label as English-only source and do not present as Korean-source-verified.	outside Korean-core FAQ mapping; no Korean-source semantic verification	Outside the 115 mapped Korean-core FAQE targets; S031 classifies ALTIBASE HDB Administration as English-only auxiliary material.
FAQE/Home/ALTIBASE HDB Administration/Useful SQL/SQL about Sessions__1802677.md	English-only source	semantic-coverage/matrices/S031-faq-attachments-english-only-classification.tsv; LLM_REFERENCE_REVIEW_PLAN.md	Auxiliary Phase 3 source only; label as English-only source and do not present as Korean-source-verified.	outside Korean-core FAQ mapping; no Korean-source semantic verification	Outside the 115 mapped Korean-core FAQE targets; S031 classifies ALTIBASE HDB Administration as English-only auxiliary material.
FAQE/Home/ALTIBASE HDB Administration/Useful SQL/SQL about Statements__1802679.md	English-only source	semantic-coverage/matrices/S031-faq-attachments-english-only-classification.tsv; LLM_REFERENCE_REVIEW_PLAN.md	Auxiliary Phase 3 source only; label as English-only source and do not present as Korean-source-verified.	outside Korean-core FAQ mapping; no Korean-source semantic verification	Outside the 115 mapped Korean-core FAQE targets; S031 classifies ALTIBASE HDB Administration as English-only auxiliary material.
FAQE/Home/ALTIBASE HDB Administration/Useful SQL/SQL about Tablespaces__1802685.md	English-only source	semantic-coverage/matrices/S031-faq-attachments-english-only-classification.tsv; LLM_REFERENCE_REVIEW_PLAN.md	Auxiliary Phase 3 source only; label as English-only source and do not present as Korean-source-verified.	outside Korean-core FAQ mapping; no Korean-source semantic verification	Outside the 115 mapped Korean-core FAQE targets; S031 classifies ALTIBASE HDB Administration as English-only auxiliary material.
FAQE/Home/ALTIBASE HDB Architecture/ALTIBASE HDB Architecture Overview__2983417.md	English-only source	semantic-coverage/matrices/S031-faq-attachments-english-only-classification.tsv; LLM_REFERENCE_REVIEW_PLAN.md	Auxiliary Phase 3 source only; label as English-only source and do not present as Korean-source-verified.	outside Korean-core FAQ mapping; no Korean-source semantic verification	Outside the 115 mapped Korean-core FAQE targets; S031 classifies ALTIBASE HDB Architecture as English-only auxiliary material.
FAQE/Home/ALTIBASE HDB Architecture/How a query is executed in ALTIBASE HDB__1802795.md	English-only source	semantic-coverage/matrices/S031-faq-attachments-english-only-classification.tsv; LLM_REFERENCE_REVIEW_PLAN.md	Auxiliary Phase 3 source only; label as English-only source and do not present as Korean-source-verified.	outside Korean-core FAQ mapping; no Korean-source semantic verification	Outside the 115 mapped Korean-core FAQE targets; S031 classifies ALTIBASE HDB Architecture as English-only auxiliary material.
FAQE/Home/ALTIBASE HDB Architecture/Transaction Durability in ALTIBASE HDB__2558087.md	English-only source	semantic-coverage/matrices/S031-faq-attachments-english-only-classification.tsv; LLM_REFERENCE_REVIEW_PLAN.md	Auxiliary Phase 3 source only; label as English-only source and do not present as Korean-source-verified.	outside Korean-core FAQ mapping; no Korean-source semantic verification	Outside the 115 mapped Korean-core FAQE targets; S031 classifies ALTIBASE HDB Architecture as English-only auxiliary material.
FAQE/Home/ALTIBASE HDB Performance Tuning/Performance diagnostics for ALTIBASE HDB/1. Application side diagnostics__1802808.md	English-only source	semantic-coverage/matrices/S031-faq-attachments-english-only-classification.tsv; LLM_REFERENCE_REVIEW_PLAN.md	Auxiliary Phase 3 source only; label as English-only source and do not present as Korean-source-verified.	outside Korean-core FAQ mapping; no Korean-source semantic verification	Outside the 115 mapped Korean-core FAQE targets; S031 classifies ALTIBASE HDB Performance Tuning as English-only auxiliary material.
