path	manifest_entry_id	checked_fields	status	action	body_chars_manifest	body_chars_actual	word_count_manifest	word_count_actual	risk	notes
FAQE/Home/09. Error Messages/ERR-71018 ( 462872) Failed to invoke a system function, read() or Failed to invoke the read() system function__16876441.md	16876441	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	5879	5879	676	676	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
FAQE/Home/09. Error Messages/ERR-71019(errno=104) Failed to invoke a system function, write()__16876443.md	16876443	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	973	973	92	92	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
FAQE/Home/09. Error Messages/ERR-7101D ( 462877) Protocol header error__16876373.md	16876373	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	4765	4765	629	629	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
FAQE/Home/09. Error Messages/ERR-91015 ( 593941) Communication failure__22642976.md	22642976	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	8158	8158	910	910	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
FAQE/Home/09. Error Messages/How to check the 8-digit errorcode of altibase_qp.log__16876313.md	16876313	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	2767	2767	376	376	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
FAQE/Home/09. Error Messages/Not found data__16876451.md	16876451	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	9784	9784	1360	1360	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
FAQE/Home/09. Error Messages/[Notify _ Fetch Timeout] Session Closed by Server__16876301.md	16876301	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	17790	17790	1882	1882	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
FAQE/Home/09. Error Messages/[Warning] Memory allocation failed__16876308.md	16876308	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	3487	3487	415	415	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
FAQE/Home/09. Error Messages/altibase_boot.log - TRY_COUNT, LOCK_COUNT, MISS_COUNT__22642967.md	22642967	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	4679	4679	393	393	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
FAQE/Home/09. Error Messages/tablespace does not have enough free space error__16876454.md	16876454	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	1848	1848	207	207	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
FAQE/Home/11. Utilities/AdminCenter2 execution file__16876465.md	16876465	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	1569	1569	159	159	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
FAQE/Home/11. Utilities/iLoader/An error occurs when uploading a DOS format data file to iloader__16876469.md	16876469	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	3717	3717	447	447	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
FAQE/Home/12. Others/Building a Large-Scale DRDB Index__22642978.md	22642978	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	3392	3392	448	448	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
FAQE/Home/12. Others/Thread process debugging method__16876474.md	16876474	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	6093	6093	837	837	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
FAQE/Home/13. General/The entire database exists in memory. Is there any problem with the safety of the data__22642980.md	22642980	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	3356	3356	446	446	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
FAQE/Home/13. General/What interface does Altibase provide__22642982.md	22642982	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	3860	3860	528	528	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
FAQE/Home/13. General/What is the biggest difference between Altibase and disk-based DBMS__16876485.md	16876485	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	2572	2572	251	251	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
FAQE/Home/ALTIBASE HDB Administration/How to terminate a session__1802689.md	1802689	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	2562	2562	307	307	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
FAQE/Home/ALTIBASE HDB Administration/Useful SQL/Miscellaneous queries__1802687.md	1802687	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	7573	7573	962	962	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
FAQE/Home/ALTIBASE HDB Administration/Useful SQL/SQL about Objects__1802681.md	1802681	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	19986	19986	2381	2381	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
FAQE/Home/ALTIBASE HDB Administration/Useful SQL/SQL about Replication__1802683.md	1802683	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	5020	5020	664	664	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
FAQE/Home/ALTIBASE HDB Administration/Useful SQL/SQL about Sessions__1802677.md	1802677	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	5228	5228	618	618	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
FAQE/Home/ALTIBASE HDB Administration/Useful SQL/SQL about Statements__1802679.md	1802679	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	8225	8225	1070	1070	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
FAQE/Home/ALTIBASE HDB Administration/Useful SQL/SQL about Tablespaces__1802685.md	1802685	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	8546	8546	953	953	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
FAQE/Home/ALTIBASE HDB Architecture/ALTIBASE HDB Architecture Overview__2983417.md	2983417	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	661	661	36	36	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
FAQE/Home/ALTIBASE HDB Architecture/How a query is executed in ALTIBASE HDB__1802795.md	1802795	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	1783	1783	245	245	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
FAQE/Home/ALTIBASE HDB Architecture/Transaction Durability in ALTIBASE HDB__2558087.md	2558087	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	8403	8403	1302	1302	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
FAQE/Home/ALTIBASE HDB Performance Tuning/Performance diagnostics for ALTIBASE HDB/1. Application side diagnostics__1802808.md	1802808	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	5185	5185	724	724	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
FAQE/Home/ALTIBASE HDB Performance Tuning/Performance diagnostics for ALTIBASE HDB/2. Database side diagnostics__1802812.md	1802812	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	11802	11802	1763	1763	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
FAQE/Home/ALTIBASE HDB Performance Tuning/Performance diagnostics for ALTIBASE HDB/3. System side diagnostics__1802815.md	1802815	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	4926	4926	768	768	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
FAQE/Home/ALTIBASE HDB Performance Tuning/Performance diagnostics for ALTIBASE HDB__1802804.md	1802804	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	1344	1344	115	115	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
FAQE/Home/ALTIBASE HDB Replication/How to resolve a replication conflict__1802562.md	1802562	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	6460	6460	853	853	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
FAQE/Home/ALTIBASE HDB Replication/Replication Overview__1802501.md	1802501	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	7848	7848	1197	1197	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
FAQE/Home/ALTIBASE HDB Replication/What is Offline Replicator__1803108.md	1803108	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	2012	2012	262	262	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
FAQE/Home/ALTIBASE HDB Replication/What is a Replication Conflict__1802533.md	1802533	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	3147	3147	414	414	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
FAQE/Home/ALTIBASE HDB Troubleshooting/A transaction exceeds lock timeout value specified by user__2130190.md	2130190	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	2138	2138	252	252	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
FAQE/Home/ALTIBASE HDB Troubleshooting/A user tablespace does not have enough free space__2130199.md	2130199	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	2107	2107	271	271	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
FAQE/Home/ALTIBASE HDB Troubleshooting/Cannot insert new records after deleting bulk records/1. Test case with ALTIBASE HDB 5.3.3__2558084.md	2558084	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	4463	4463	499	499	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
FAQE/Home/ALTIBASE HDB Troubleshooting/Cannot insert new records after deleting bulk records/2. How did we determine that the cause of the problem is the Index Segment__2558186.md	2558186	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	3011	3011	288	288	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
FAQE/Home/ALTIBASE HDB Troubleshooting/Cannot insert new records after deleting bulk records/3. How to avoid the problem by seperating Tablespaces__2558192.md	2558192	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	11779	11779	1298	1298	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
FAQE/Home/ALTIBASE HDB Troubleshooting/Cannot insert new records after deleting bulk records__2557870.md	2557870	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	5800	5800	928	928	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
FAQE/Home/ALTIBASE HDB Troubleshooting/Information required to diagnose ALTIBASE HDB problems__1802800.md	1802800	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	5757	5757	767	767	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
FAQE/Home/ALTIBASE HDB Troubleshooting/Performance degradation issue when upgrading AIX OS to 6.1__2984400.md	2984400	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	2871	2871	281	281	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
FAQE/Home/ALTIBASE HDB Troubleshooting/The number of logfiles grows rapidly__1802691.md	1802691	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	9649	9649	1199	1199	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
FAQE/Home/Altibase Error Messages/ERR-0001c Unable to shutdown the communication channel__7340235.md	7340235	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	1397	1397	127	127	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
FAQE/Home/Altibase Error Messages/ERR-01002 Invalid character in use__7340276.md	7340276	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	1441	1441	159	159	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
FAQE/Home/Altibase Error Messages/ERR-01027 No more IPC channel__7340237.md	7340237	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	951	951	82	82	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
FAQE/Home/Altibase Error Messages/ERR-01044 Client's query exceeded in the execution time limitation__6979720.md	6979720	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	2268	2268	248	248	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
FAQE/Home/Altibase Error Messages/ERR-0104E The property XXX is read-only__7340662.md	7340662	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	1170	1170	103	103	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
FAQE/Home/Altibase Error Messages/ERR-01050 License File does not exist__6979815.md	6979815	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	992	992	82	82	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
FAQE/Home/Altibase Error Messages/ERR-01067 The memory size allocated for the statement has exceeded the maximum limit__6979765.md	6979765	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	2445	2445	208	208	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
FAQE/Home/Altibase Error Messages/ERR-0106B The session has been disconnected by the client__6979739.md	6979739	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	1151	1151	87	87	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
FAQE/Home/Altibase Error Messages/ERR-0108D License invalid or expired__6979817.md	6979817	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	971	971	82	82	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
FAQE/Home/Altibase Error Messages/ERR-0109D Insufficient memory__6979800.md	6979800	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	4635	4635	598	598	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
FAQE/Home/Altibase Error Messages/ERR-0109F Library file for external procedure(function) not found__6980119.md	6980119	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	1289	1289	95	95	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
FAQE/Home/Altibase Error Messages/ERR-1051 Memory allocation failed__6980122.md	6980122	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	945	945	74	74	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
FAQE/Home/Altibase Error Messages/ERR-11009 Failed to invoke a system function, shmat()__7340315.md	7340315	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	1392	1392	147	147	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
FAQE/Home/Altibase Error Messages/ERR-11025 The data file already exists__6980129.md	6980129	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	1165	1165	111	111	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
FAQE/Home/Altibase Error Messages/ERR-11027 The data file does not exist__7340037.md	7340037	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	1118	1118	110	110	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
FAQE/Home/Altibase Error Messages/ERR-1102A Tablespace node not found__11207177.md	11207177	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	1014	1014	94	94	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
FAQE/Home/Altibase Error Messages/ERR-11030 The data file cannot be extended because the requested size is bigger than the maximum size (262144 pages)__6979787.md	6979787	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	2958	2958	272	272	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
FAQE/Home/Altibase Error Messages/ERR-11035 The tablespace does not have enough free space__7340049.md	7340049	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	1170	1170	94	94	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
FAQE/Home/Altibase Error Messages/ERR-11036 The data file is in use__6979796.md	6979796	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	1916	1916	244	244	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
FAQE/Home/Altibase Error Messages/ERR-11041 A deadlock situation has been detected__6979819.md	6979819	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	1354	1354	132	132	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
FAQE/Home/Altibase Error Messages/ERR-11049 Too many pages were allocated__6979809.md	6979809	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	1465	1465	159	159	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
FAQE/Home/Altibase Error Messages/ERR-11058 The row already exists in a unique index__6979811.md	6979811	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	1085	1085	90	90	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
FAQE/Home/Altibase Error Messages/ERR-1105D Unable to begin a new update statement__6979825.md	6979825	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	3817	3817	523	523	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
FAQE/Home/Altibase Error Messages/ERR-11075 The transaction has exceeded the lock timeout specified by the user__6979715.md	6979715	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	10291	10291	1457	1457	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
FAQE/Home/Altibase Error Messages/ERR-11098 smERR_ABORT_BackupLogMode cannot be executed in no archive log mode__6980107.md	6980107	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	2123	2123	203	203	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
FAQE/Home/Altibase Error Messages/ERR-110AA Duplicate tablespace names__6980117.md	6980117	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	1291	1291	112	112	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
FAQE/Home/Altibase Error Messages/ERR-110F0 Unable to extend the tablespace (SYS_TBS_MEM_DIC) because the database would be larger than MEM_MAX_DB_SIZE(12__7340747.md	7340747	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	4965	4965	583	583	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
FAQE/Home/Altibase Error Messages/ERR-11107 smERR_ABORT_UNABLE_TO_CREATE_CUZ_VOL_MAX_DB_SIZE Unable to create the tablespace because the database would be__7340317.md	7340317	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	2053	2053	142	142	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
FAQE/Home/Altibase Error Messages/ERR-11118 The update log size '...' is bigger than TRX_UPDATE_MAX_LOGSIZE '...'__7340281.md	7340281	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	2019	2019	229	229	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
FAQE/Home/Altibase Error Messages/ERR-11118 The update log size '10485760' is bigger than TRX_UPDATE_MAX_LOGSIZE__6979741.md	6979741	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	2493	2493	270	270	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
FAQE/Home/Altibase Error Messages/ERR-11123 The tablespace does not have enough free space__6979770.md	6979770	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	1579	1579	157	157	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
FAQE/Home/Altibase Error Messages/ERR-11136 The LogAnchor file already exists__7340099.md	7340099	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	1370	1370	136	136	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
FAQE/Home/Altibase Error Messages/ERR-135181 Invalid data type length__7340105.md	7340105	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	1067	1067	98	98	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
FAQE/Home/Altibase Error Messages/ERR-201436 The number of host variables exceed the maximum limit (1024)__6979839.md	6979839	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	1677	1677	184	184	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
FAQE/Home/Altibase Error Messages/ERR-2100D Invalid length of the data type__6979821.md	6979821	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	1385	1385	152	152	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
FAQE/Home/Altibase Error Messages/ERR-21010 Value overflow__6979763.md	6979763	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	1959	1959	241	241	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
FAQE/Home/Altibase Error Messages/ERR-21011 Invalid literal__6979802.md	6979802	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	924	924	87	87	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
FAQE/Home/Altibase Error Messages/ERR-21013 Calculation stack overflow__6979710.md	6979710	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	1737	1737	202	202	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
FAQE/Home/Altibase Error Messages/ERR-266300 Request of fetching data to an unprepared SQL statement__7340131.md	7340131	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	1688	1688	162	162	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
FAQE/Home/Altibase Error Messages/ERR-266447 mmERR_ABORT_TOO_MANY_STATEMENTS_IN_THE_SESSION__7340133.md	7340133	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	1278	1278	86	86	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
FAQE/Home/Altibase Error Messages/ERR-31020 You cannot execute DDL on a replicated table__7340135.md	7340135	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	1424	1424	140	140	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
FAQE/Home/Altibase Error Messages/ERR-3103F No DDL statement is allowed to be executed on a replicated table__7340137.md	7340137	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	2938	2938	367	367	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
FAQE/Home/Altibase Error Messages/ERR-31088 A replicated table must have a primary key__6979805.md	6979805	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	1350	1350	133	133	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
FAQE/Home/Altibase Error Messages/ERR-3109F REPL sender failure to handshake with peer server__6979813.md	6979813	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	1301	1301	108	108	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
FAQE/Home/Altibase Error Messages/ERR-311B1 The user must have SYSDBA privilege(s) to execute this statement__7340144.md	7340144	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	1393	1393	106	106	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
FAQE/Home/Altibase Error Messages/ERR-311E0 The estimated size of the index key exceeds the maximum limit__6979717.md	6979717	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	3275	3275	447	447	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
FAQE/Home/Altibase Error Messages/ERR-31233 The fixed record size exceeds the page size__7340252.md	7340252	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	1696	1696	183	183	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
FAQE/Home/Altibase Error Messages/ERR-31240 Invalid request to process SQL statement__7340268.md	7340268	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	1483	1483	147	147	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
FAQE/Home/Altibase Error Messages/ERR-31283 Unable to create a primary key or a unique key constraint in the local non-prefixed index__6979844.md	6979844	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	9342	9342	958	958	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
FAQE/Home/Altibase Error Messages/ERR-312C4 Cannot execute this DDL on a replicated table when the system property REPLICATION_DDL_ENABLE is 0__7340146.md	7340146	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	3220	3220	372	372	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
FAQE/Home/Altibase Error Messages/ERR-40029 Failed to invoke a system function, flock_trywrlock()__6979846.md	6979846	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	1287	1287	107	107	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
FAQE/Home/Altibase Error Messages/ERR-4102C Incompatible NLS between the client and the server__6979729.md	6979729	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	2100	2100	181	181	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
FAQE/Home/Altibase Error Messages/ERR-41041 Another SYSDBA session is already running__7340761.md	7340761	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	1302	1302	119	119	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
FAQE/Home/Altibase Error Messages/ERR-41047 The transaction is already active__6979774.md	6979774	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	1309	1309	125	125	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
FAQE/Home/Altibase Error Messages/ERR-41059 Task pool overflow__6979777.md	6979777	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	1832	1832	220	220	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
FAQE/Home/Altibase Error Messages/ERR-4105A Several statements still open__7340285.md	7340285	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	1217	1217	120	120	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
FAQE/Home/Altibase Error Messages/ERR-4109C invalid session property__6979790.md	6979790	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	1296	1296	136	136	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
FAQE/Home/Altibase Error Messages/ERR-410B7 Invalid size of data to bind to a host variable Data Size__7340272.md	7340272	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	1683	1683	175	175	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
FAQE/Home/Altibase Error Messages/ERR-410CF Too many statements have been allocated to this session__6979761.md	6979761	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	1434	1434	123	123	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
FAQE/Home/Altibase Error Messages/ERR-410D5 Client unable to establish connection__6979736.md	6979736	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	1456	1456	144	144	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
FAQE/Home/Altibase Error Messages/ERR-51014 Function sequence error__7340763.md	7340763	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	1338	1338	135	135	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
FAQE/Home/Altibase Error Messages/ERR-51024 Different protocol versions__7340157.md	7340157	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	1050	1050	87	87	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
